scope,strategy,transaction-cost bps,cumulative return,terminal growth of $1,annualized return,Sharpe ratio,maximum drawdown,break-even cost label or value
11-sector recent-regime,macro_plus_momentum_ridge,0,1.252429998116991,2.252429998116991,0.2682796246599193,1.8524120816330945,-0.0905725864199474,greater_than_200_bps
11-sector recent-regime,macro_plus_momentum_ridge,10,1.2263380367932126,2.2263380367932126,0.2639618978168199,1.822549061026265,-0.0911922673326482,greater_than_200_bps
11-sector recent-regime,macro_plus_momentum_ridge,25,1.187739564902202,2.187739564902202,0.2575084541390691,1.7777660818741707,-0.092121386393051,greater_than_200_bps
11-sector recent-regime,macro_plus_momentum_ridge,50,1.1248222555441694,2.1248222555441694,0.2468141961999121,1.7031909591586611,-0.0936688453659602,greater_than_200_bps
11-sector recent-regime,equal_weight_benchmark,0,0.6831901987880702,1.6831901987880702,0.1646228988094655,1.4091681135224932,-0.0876689111047965,not_applicable_benchmark
11-sector recent-regime,equal_weight_benchmark,10,0.6823150039865264,1.6823150039865264,0.1644456292651392,1.4076475785451217,-0.0876913849237484,not_applicable_benchmark
11-sector recent-regime,equal_weight_benchmark,25,0.6810030412364896,1.6810030412364896,0.1641797707303911,1.4053671258502929,-0.0877250949681167,not_applicable_benchmark
11-sector recent-regime,equal_weight_benchmark,50,0.6788186467157211,1.6788186467157211,0.1637367952319748,1.4015673046473738,-0.087781276551263,not_applicable_benchmark
9-sector long-history,momentum_only_ridge,0,5.533753316610798,6.533753316610798,0.1258588917519874,0.8607642935777774,-0.2471913584733353,not_applicable_strategy_underperforms_before_costs
9-sector long-history,momentum_only_ridge,10,5.169220038971825,6.169220038971825,0.1217840987723972,0.8328417374740822,-0.2497440150163151,not_applicable_strategy_underperforms_before_costs
9-sector long-history,momentum_only_ridge,25,4.659911262769983,5.659911262769983,0.1156959867310092,0.7910865955746961,-0.2535593350434584,not_applicable_strategy_underperforms_before_costs
9-sector long-history,momentum_only_ridge,50,3.902112854560529,4.902112854560529,0.1056130497525655,0.7218558110537773,-0.2598819043115856,not_applicable_strategy_underperforms_before_costs
9-sector long-history,macro_plus_momentum_ridge,0,4.078309351949557,5.078309351949557,0.108081581169918,0.7276289935835686,-0.2170789000545966,not_applicable_strategy_underperforms_before_costs
9-sector long-history,macro_plus_momentum_ridge,10,3.80706653225806,4.80706653225806,0.1042467091671208,0.7019945638072714,-0.2178693430588805,not_applicable_strategy_underperforms_before_costs
9-sector long-history,macro_plus_momentum_ridge,25,3.426922153334312,4.426922153334312,0.098516121408489,0.6636337068442499,-0.2190543358785048,not_applicable_strategy_underperforms_before_costs
9-sector long-history,macro_plus_momentum_ridge,50,2.8585026361212567,3.8585026361212567,0.0890228115259765,0.5999552013490989,-0.2210275327464059,not_applicable_strategy_underperforms_before_costs
9-sector long-history,equal_weight_benchmark,0,6.277480011648935,7.277480011648935,0.1335505881422318,0.968119887149878,-0.2359948931951451,not_applicable_benchmark
9-sector long-history,equal_weight_benchmark,10,6.261320369598248,7.261320369598248,0.1333914510558393,0.9670053856572672,-0.2360218724417776,not_applicable_benchmark
9-sector long-history,equal_weight_benchmark,25,6.237147729802961,7.237147729802961,0.1331527830478722,0.9653337015034654,-0.2360623402656505,not_applicable_benchmark
9-sector long-history,equal_weight_benchmark,50,6.197037541858711,7.197037541858711,0.1327551033401099,0.962547743237711,-0.236129783849279,not_applicable_benchmark
