scope,OOS date range,OOS months,strategy,cumulative return,terminal growth of $1,annualized return,annualized volatility,Sharpe ratio,maximum drawdown,positive-month rate,average monthly one-way turnover,annualized one-way turnover
11-sector recent-regime,2023-01-31 to 2026-05-31,41,macro_only_ridge,0.8061423940498034,1.8061423940498036,0.188904368703118,0.134631866135371,1.403117806546457,-0.0868608615906832,0.7073170731707317,0.2083108375747567,2.499730050897081
11-sector recent-regime,2023-01-31 to 2026-05-31,41,momentum_only_ridge,0.7874428230865365,1.7874428230865365,0.1852884333972682,0.1281565330094748,1.4457977993487818,-0.0964905891433309,0.6829268292682927,0.3743401256882435,4.492081508258922
11-sector recent-regime,2023-01-31 to 2026-05-31,41,macro_plus_momentum_ridge,1.252429998116991,2.252429998116991,0.2682796246599193,0.1448271836056062,1.852412081633093,-0.0905725864199473,0.7560975609756098,0.2841060800261561,3.4092729603138743
11-sector recent-regime,2023-01-31 to 2026-05-31,41,simple_relative_momentum_rule,0.4675896339880594,1.4675896339880594,0.1188254387075471,0.1358233931138519,0.874852527119121,-0.1299500453335949,0.5853658536585366,0.3049506532787336,3.6594078393448033
11-sector recent-regime,2023-01-31 to 2026-05-31,41,equal_weight_benchmark,0.6831901987880735,1.6831901987880735,0.1646228988094662,0.1168227532469198,1.4091681135224978,-0.0876689111047965,0.6829268292682927,0.0126852043860629,0.1522224526327553
9-sector long-history,2010-08-31 to 2026-05-31,190,macro_only_ridge,5.276009972331284,6.276009972331284,0.1230006778920096,0.1504668783702512,0.8174601561769892,-0.2152394207013256,0.6263157894736842,0.2461327561772639,2.953593074127168
9-sector long-history,2010-08-31 to 2026-05-31,190,momentum_only_ridge,5.533753316610804,6.533753316610804,0.1258588917519874,0.1462176029965804,0.8607642935777767,-0.2471913584733355,0.631578947368421,0.302082570110974,3.6249908413316887
9-sector long-history,2010-08-31 to 2026-05-31,190,macro_plus_momentum_ridge,4.0783093519495495,5.0783093519495495,0.108081581169918,0.1485394096758253,0.7276289935835678,-0.2170789000545966,0.6052631578947368,0.2888382885520185,3.4660594626242225
9-sector long-history,2010-08-31 to 2026-05-31,190,simple_relative_momentum_rule,4.669015748415931,5.669015748415931,0.1158092508328534,0.1344288787865442,0.8614908632596993,-0.1519056486698674,0.6210526315789474,0.3081626858230202,3.6979522298762433
9-sector long-history,2010-08-31 to 2026-05-31,190,equal_weight_benchmark,6.277480011648958,7.277480011648958,0.133550588142232,0.1379483986589737,0.9681198871498784,-0.2359948931951454,0.6947368421052632,0.0116997513116857,0.1403970157402288
